id,title,description,era,section,detect_type,detect_target,reward_item,reward_count,cost_item,cost_count,cooldown,target_count
88,Integrated Circuit MV,Craft an MV integrated circuit.,energy_junior,mv_circuits,craft,0:1:1:1:3,,,,,2
89,Assembling Machine MV,Craft an MV assembling machine.,energy_junior,mv_machines,craft,1:0:1:1:11,,,,,1
90,Platinum Cable,Craft platinum cables for HV power transmission.,energy_junior,hv_power,craft,1111:01:5,,,,,16
91,HV Hull,Craft an HV machine hull.,energy_junior,hv_machines,craft,1:1:0:1:2,,,,,1
92,Transformer MV-HV,Craft a transformer to step up MV to HV.,energy_junior,hv_power,craft,1110:11:0,,,,,1
93,Battery Buffer HV,Craft an HV battery buffer.,energy_junior,hv_power,craft,1110:10:2,,,,,1
94,Drill HV,Craft an HV drill for maximum excavation power.,energy_junior,hv_tools,craft,1111:00:3,,,,,1
95,Chainsaw HV,Craft an HV chainsaw.,energy_junior,hv_tools,craft,1:1:0:0:7,,,,,1
96,Electric Furnace HV,Craft an HV electric furnace.,energy_junior,hv_machines,craft,1:0:0:0:11,,,,,1
97,Advanced Circuit HV,Craft an HV advanced circuit.,energy_junior,hv_circuits,craft,0:1:1:1:4,,,,,2
98,Assembling Machine HV,Craft an HV assembling machine.,energy_junior,hv_machines,craft,1:0:1:1:12,,,,,1
99,Transformer HV-EV,Craft a transformer to step up HV to EV.,energy_middle,ev_transition,craft,1110:11:1,,,,,1
100,Processor Circuit EV,Craft an EV processor circuit.,energy_middle,ev_circuits,craft,0:1:1:1:5,,,,,2
101,Electrum Ingot,Smelt electrum for advanced components.,administrator,rare_materials,craft,0:110:4,,,,,4
102,Uranium Ingot,Process uranium for nuclear tech.,administrator,rare_materials,craft,0:110:5,,,,,2
103,Kanthal Ingot,Create kanthal for heating elements.,administrator,rare_materials,craft,0:0:1:0:6,,,,,4
104,Nichrome Ingot,Create nichrome for high-heat coils.,administrator,rare_materials,craft,0:0:1:0:7,,,,,4
105,Stainless Steel Ingot,Alloy stainless steel for chemical machines.,administrator,rare_materials,craft,0:0:1:0:8,,,,,8
106,Titanium Ingot,Process titanium for aerospace and multiblocks.,administrator,rare_materials,craft,0:0:1:0:9,,,,,4
107,Tungstensteel Ingot,Create tungstensteel for extreme durability.,administrator,rare_materials,craft,0:0:1:0:10,,,,,4
108,Aluminium Ingot,Process aluminium for lightweight structures.,administrator,rare_materials,craft,0:0:1:0:11,,,,,8
109,Chromium Ingot,Process chromium for stainless steel alloys.,administrator,rare_materials,craft,0:0:1:0:12,,,,,4
110,Platinum Ingot,Process platinum for catalysts and HV cables.,administrator,rare_materials,craft,0:0:1:0:13,,,,,4
111,Iridium Ingot,Process iridium for endgame components.,administrator,rare_materials,craft,0:0:1:0:14,,,,,2
112,Osmium Ingot,Process osmium for superconductors.,administrator,rare_materials,craft,0:0:1:0:15,,,,,2
113,Naquadah Ingot,Process naquadah for extreme voltage tech.,administrator,rare_materials,craft,0:0:1:0:16,,,,,1
114,Circuit Assembler,Craft a circuit assembler to automate board population.,administrator,advanced_machines,craft,1:0:1:1:13,,,,,1
115,Precision Laser Welder,Craft a laser welder for micro-components.,administrator,advanced_machines,craft,1:0:1:1:14,,,,,1
116,Implosion Compressor,Craft an implosion compressor for dense materials.,administrator,advanced_machines,craft,1:0:1:1:15,,,,,1
117,Hatch Input LV,Craft an LV input hatch for multiblock fluids.,energy_junior,multiblocks_junior,craft,1:1:1:0:0,,,,,1
118,Hatch Output LV,Craft an LV output hatch for multiblock fluids.,energy_junior,multiblocks_junior,craft,1:1:1:0:10,,,,,1
119,Hatch Bus Input LV,Craft an LV input bus for multiblock items.,energy_junior,multiblocks_junior,craft,1:1:1:0:20,,,,,1
120,Hatch Bus Output LV,Craft an LV output bus for multiblock items.,energy_junior,multiblocks_junior,craft,1:1:1:0:30,,,,,1
121,Hatch Energy Input LV,Craft an LV energy hatch to power multiblocks.,energy_junior,multiblocks_junior,craft,1:1:1:0:40,,,,,1
122,Hatch Maintenance,Craft a maintenance hatch for multiblock repairs.,energy_junior,multiblocks_junior,craft,1:1:1:0:60,,,,,1
123,Coke Oven,Build a Coke Oven multiblock for coal processing.,energy_junior,multiblocks_junior,craft,1:0:1:1:30,,,,,1
124,Steam Turbine,Build a Steam Turbine multiblock for massive LV power.,energy_junior,multiblocks_junior,craft,1:0:0:1:14,,,,,1
125,Multiblock LCR,Build a Large Chemical Reactor for complex chemistry.,energy_junior,multiblocks_junior,craft,1:0:1:1:16,,,,,1
126,Advanced Database,Craft an advanced database for complex recipe lookups.,energy_junior,logistics,craft,1:0:1:1:24,,,,,1
127,Transformer EV-IV,Craft a transformer to step up EV to IV.,energy_middle,ev_iv_transition,craft,1:0:1:1:3,,,,,1
128,Battery Buffer EV,Craft an EV battery buffer.,energy_middle,ev_iv_transition,craft,1:0:1:0:4,,,,,1
129,Battery Buffer IV,Craft an IV battery buffer for massive capacity.,energy_middle,ev_iv_transition,craft,1:0:1:0:5,,,,,1
130,Wetware Circuit IV,Craft an IV wetware circuit.,energy_middle,iv_circuits,craft,0:1:1:1:6,,,,,2
131,Vacuum Freezer,Build a Vacuum Freezer multiblock for superconductors.,energy_middle,multiblocks_middle,craft,1:0:1:1:17,,,,,1
132,Industrial Smelter,Build an Industrial Smelter for massive alloy production.,energy_middle,multiblocks_middle,craft,1:0:1:1:18,,,,,1
133,Industrial Grinder,Build an Industrial Grinder for perfect ore processing.,energy_middle,multiblocks_middle,craft,1:0:1:1:19,,,,,1
134,Industrial Squeezer,Build an Industrial Squeezer for fluid extraction.,energy_middle,multiblocks_middle,craft,1:0:1:1:20,,,,,1
135,Industrial Brewery,Build an Industrial Brewery for biomass and potions.,energy_middle,multiblocks_middle,craft,1:0:1:1:21,,,,,1
136,Large Turbine,Build a Large Turbine for high-tier power generation.,energy_middle,multiblocks_middle,craft,1:0:1:1:22,,,,,1
137,Multi Smelter,Build a Multi Smelter for batch ingot production.,energy_middle,multiblocks_middle,craft,1:0:1:1:23,,,,,1
138,Cracker,Build a Cracker for oil processing.,energy_middle,multiblocks_middle,craft,1:0:1:1:25,,,,,1
139,Distillation Tower,Build a Distillation Tower to separate complex fluids.,energy_middle,multiblocks_middle,craft,1:0:1:1:26,,,,,1
140,Chemical Plant,Build a Chemical Plant for industrial synthesis.,energy_middle,multiblocks_middle,craft,1:0:1:1:28,,,,,1
141,Pyrolyse Oven,Build a Pyrolyse Oven for carbon and tar processing.,energy_middle,multiblocks_middle,craft,1:0:1:1:29,,,,,1
142,Large Combustion Reactor,Build a Large Combustion Reactor for extreme power.,energy_middle,multiblocks_middle,craft,1:0:1:1:31,,,,,1
143,Transformer IV-LuV,Craft a transformer to step up IV to LuV.,energy_senior,luv_transition,craft,1:0:1:1:4,,,,,1
144,Quantum Circuit LuV,Craft a LuV quantum circuit.,energy_senior,luv_circuits,craft,0:1:1:1:7,,,,,2
145,Assembly Line,Build an Assembly Line multiblock for endgame components.,energy_senior,multiblocks_senior,craft,1:0:1:1:27,,,,,1
146,Extreme Combustion Reactor,Build an ECR for limitless IV/LuV power.,energy_senior,multiblocks_senior,craft,1:0:1:1:32,,,,,1
147,Naquadah Reactor,Build a Naquadah Reactor for endgame base load power.,energy_senior,multiblocks_senior,craft,1:0:0:1:13,,,,,1
148,Multi Volume Hatch,Craft a multi-volume hatch for massive fluid storage.,energy_senior,multiblocks_senior,craft,1:0:1:1:33,,,,,1
149,Carbon Fiber,Craft carbon fiber for lightweight armor and machines.,energy_senior,advanced_materials,craft,0:1:1:1:10,,,,,8
150,Graphene,Craft graphene for advanced electronics.,energy_senior,advanced_materials,craft,0:1:1:1:11,,,,,4
151,Neutronium,Craft neutronium for ultimate density structures.,energy_senior,advanced_materials,craft,0:1:1:1:12,,,,,1
152,Naquadah Alloy,Craft naquadah alloy for ZPM/UV casings.,energy_senior,advanced_materials,craft,0:1:1:1:13,,,,,4
153,HSS-E,Craft HSS-E for high-speed tooling.,energy_senior,advanced_materials,craft,0:1:1:1:14,,,,,4
154,Polyethylene,Craft polyethylene for plastic casings and insulation.,energy_senior,advanced_materials,craft,0:1:1:1:15,,,,,16
155,PCB,Craft printed circuit boards for advanced computing.,energy_senior,advanced_materials,craft,0:1:1:1:16,,,,,8
156,Fiberglass,Craft fiberglass for high-tier circuit boards.,energy_senior,advanced_materials,craft,0:1:1:1:17,,,,,8
157,Sulfuric Acid,Obtain a bucket of sulfuric acid for chemical processing.,energy_senior,fluids,inventory,0:11111:2,,,,,1
158,Hydrogen,Obtain a bucket of hydrogen for fuel and chemistry.,energy_senior,fluids,inventory,0:11111:1,,,,,1
159,Coolant,Obtain a bucket of coolant for reactor stabilization.,energy_senior,fluids,inventory,0:11111:4,,,,,1
160,LuV Hull,Craft a LuV machine hull.,energy_senior,luv_machines,craft,1:1:0:1:5,,,,,1
161,ZPM Hull,Craft a ZPM machine hull.,energy_senior,luv_machines,craft,1:1:0:1:6,,,,,1
162,Jackhammer,Craft a jackhammer for rapid terrain destruction.,energy_senior,tools,craft,1:1:0:0:10,,,,,1
163,Electric Soldering Iron,Craft a soldering iron for circuit repair.,energy_senior,tools,craft,1:1:0:0:11,,,,,1
